****6****
100
46;43;1;2;0;
68;2;1;2;0;
18;99;1;2;0;
73;73;1;2;0;
30;58;1;2;0;
16;1;1;2;0;
16;71;1;2;0;
11;74;1;2;0;
38;19;1;2;0;
99;40;1;2;0;
51;7;1;2;0;
10;24;1;2;0;
50;42;1;2;0;
67;46;1;2;0;
94;12;1;2;0;
51;39;1;2;0;
54;19;1;2;0;
92;23;1;2;0;
69;17;1;2;0;
95;50;1;2;0;
74;62;1;2;0;
50;89;1;2;0;
33;60;1;2;0;
62;22;1;2;0;
30;12;1;2;0;
13;80;1;2;0;
70;75;1;2;0;
55;20;1;2;0;
16;74;1;2;0;
17;61;1;2;0;
85;68;1;2;0;
51;90;1;2;0;
86;42;1;2;0;
64;6;1;2;0;
58;58;1;2;0;
55;31;1;2;0;
71;4;1;2;0;
71;55;1;2;0;
15;32;1;2;0;
76;44;1;2;0;
43;41;1;2;0;
23;65;1;2;0;
15;30;1;2;0;
84;82;1;2;0;
3;100;1;2;0;
42;39;1;2;0;
67;92;1;2;0;
28;4;1;2;0;
33;91;1;2;0;
61;43;1;2;0;
100;15;1;2;1676;
22;70;1;2;1656;
77;84;1;2;394;
4;27;1;2;207;
44;2;1;2;241;
10;31;1;2;1511;
43;85;1;2;2285;
84;23;1;2;1090;
27;2;1;2;384;
12;44;1;2;2433;
54;95;1;2;780;
78;16;1;2;2113;
25;92;1;2;1553;
4;96;1;2;1034;
29;91;1;2;776;
66;53;1;2;1345;
86;95;1;2;1000;
9;79;1;2;1561;
99;57;1;2;241;
93;68;1;2;276;
99;21;1;2;1091;
71;51;1;2;2251;
13;27;1;2;440;
87;82;1;2;2438;
91;10;1;2;1964;
96;75;1;2;1769;
83;12;1;2;1008;
54;21;1;2;696;
99;19;1;2;296;
45;63;1;2;641;
86;13;1;2;202;
69;84;1;2;657;
19;96;1;2;1161;
13;34;1;2;2111;
2;76;1;2;1211;
82;71;1;2;1203;
65;5;1;2;1103;
43;10;1;2;690;
99;8;1;2;1058;
64;4;1;2;90;
96;89;1;2;223;
48;9;1;2;2235;
55;80;1;2;742;
88;44;1;2;2298;
2;46;1;2;438;
26;79;1;2;936;
77;43;1;2;139;
39;86;1;2;1548;
73;36;1;2;1726;
25;51;1;2;912;
0;1;40;5;
1;1;16;111;
2;1;46;213;
3;1;34;325;
4;1;5;400;
